Predicate,avgObjBind,avgSubjBind
"<http://dbpedia.org/ontology/award>",2.4771,7.08
"<http://www.w3.org/2002/07/owl#differentFrom>",1.3487,1.1576
"<http://dbpedia.org/property/settlementType>",1.0001,74.72975814931651
"<http://dbpedia.org/property/office>",1.4888547271329746,1.6821537125488493
"<http://dbpedia.org/ontology/utcOffset>",1.6746,1701.2099236641222
"<http://dbpedia.org/ontology/PopulatedPlace/areaTotal>",1.229,5.5884
"<http://dbpedia.org/property/incumbent>",2.0602786465737846,1.3956086286594762
"<http://dbpedia.org/property/numEmployees>",1.0193687230989956,1.897196261682243
"<http://dbpedia.org/property/sport>",1.0562,33.893659180977544
"<http://www.w3.org/1999/02/22-rdf-syntax-ns/type>",0.0,0.0
"<http://dbpedia.org/ontology/timeZome>",0.0,0.0
"<http://dbpedia.org/ontology/residence>",1.5617,5.321
"<http://dbpedia.org/property/coordinatesDisplay>",1.0001,1114.0790513833992
"<http://dbpedia.org/property/longitude>",1.0239,1.4445
"<http://dbpedia.org/property/movieMusic>",1.0188679245283019,1.3170731707317074
"<http://dbpedia.org/property/elevationM>",1.0085251491901108,1.82
"<http://dbpedia.org/property/latitude>",1.1814,1.4768
"<http://dbpedia.org/property/revenue>",1.0835274542429285,1.3796610169491526
"<http://dbpedia.org/ontology/successor>",1.4888,1.2509
"<http://dbpedia.org/property/othernames>",1.7320143884892085,1.194789081885856
"<http://dbpedia.org/ontology/percentageOfAreaWater>",1.0002,2.76858154097468
"<http://dbpedia.org/ontology/stylisticOrigin>",4.321852731591449,3.794577685088634
"<http://dbpedia.org/property/longD>",1.0017,4.701137171286425
"<http://dbpedia.org/property/awards>",1.4846,1.6726
"<http://dbpedia.org/ontology/Person/height>",1.0051,383.4735576923077
"<http://dbpedia.org/property/latD>",1.0024,4.779397590361445
"<http://dbpedia.org/property/areaServed>",1.0865,4.888503086419753
"<http://dbpedia.org/property/assets>",1.080135440180587,1.064516129032258
"<http://dbpedia.org/property/languages>",1.2071172555043523,4.507648183556405
"<http://dbpedia.org/property/longM>",1.0062,130.07883817427387
"<http://dbpedia.org/property/img>",1.0435413642960814,1.0315638450502151
"<http://dbpedia.org/property/subdivisionName>",1.3971,2.9728
"<http://dbpedia.org/ontology/child>",1.4828,1.1377
"<http://dbpedia.org/property/latM>",1.0071,126.5241935483871
"<http://dbpedia.org/property/clubname>",1.0305380513814832,1.026061776061776
"<http://dbpedia.org/ontology/background>",1.0,1039.9
"<http://dbpedia.org/ontology/operator>",1.2527,3.389827644474485
"<http://dbpedia.org/property/pastMembers>",3.4776509996859626,1.0798
"<http://dbpedia.org/property/pushpinMap>",1.0073,137.33838383838383
